Timestamp,Red: Hydrogen (ppm),Red: Methane (ppm),Red: Acetylene (ppm),Red: Ethylene (ppm),Red: Ethane (ppm),Red: Carbon Monoxide (ppm),Red: Carbon Dioxide (ppm),Red: Oxygen (ppm),Red: Water (ppm),Yellow: Hydrogen (ppm),Yellow: Methane (ppm),Yellow: Acetylene (ppm),Yellow: Ethylene (ppm),Yellow: Ethane (ppm),Yellow: Carbon Monoxide (ppm),Yellow: Carbon Dioxide (ppm),Yellow: Oxygen (ppm),Yellow: Water (ppm),Blue: Hydrogen (ppm),Blue: Methane (ppm),Blue: Acetylene (ppm),Blue: Ethylene (ppm),Blue: Ethane (ppm),Blue: Carbon Monoxide (ppm),Blue: Carbon Dioxide (ppm),Blue: Oxygen (ppm),Blue: Water (ppm)
09/07/2015 13:00,,,,,,,,,,0.1,5.8,0.5,0.0,0.0,2.5,610,531.3,2.0,,,,,,,,,
09/07/2015 12:00,0.0,8.6,0.8,0.0,0.0,2.1,636,251.4,2.0,,,,,,,,,,,,,,,,,,
09/07/2015 06:00,,,,,,,,,,,,,,,,,,,0.0,9.2,0.7,0.0,0.3,2.4,640,625.4,2.3
09/07/2015 05:00,,,,,,,,,,0.0,4.6,0.6,0.0,0.0,1.3,637,533.9,2.0,,,,,,,,,
09/07/2015 04:00,0.0,10.2,0.9,0.0,0.0,2.2,634,260.2,2.0,,,,,,,,,,,,,,,,,,
08/07/2015 22:00,,,,,,,,,,,,,,,,,,,0.0,6.9,0.8,0.0,0.0,1.0,632,617.8,2.3
08/07/2015 21:00,,,,,,,,,,0.0,7.2,0.4,0.0,0.0,1.0,614,525.6,2.0,,,,,,,,,
08/07/2015 20:00,0.0,7.4,0.8,0.0,0.0,1.3,609,259.1,2.0,,,,,,,,,,,,,,,,,,
08/07/2015 14:00,,,,,,,,,,,,,,,,,,,0.0,5.4,1.0,0.0,0.0,0.0,608,617.2,2.3
08/07/2015 13:00,,,,,,,,,,0.0,5.9,0.9,0.0,0.0,4.4,615,530.1,2.0,,,,,,,,,
08/07/2015 12:00,0.0,8.5,0.8,0.0,0.0,2.7,619,273.3,2.0,,,,,,,,,,,,,,,,,,
08/07/2015 06:00,,,,,,,,,,,,,,,,,,,0.0,7.1,0.8,0.0,0.0,0.8,611,625.7,2.3
