Timestamp,BLUE: Hydrogen (ppm),BLUE: Methane (ppm),BLUE: Acetylene (ppm),BLUE: Ethylene (ppm),BLUE: Ethane (ppm),BLUE: Carbon Monoxide (ppm),BLUE: Carbon Dioxide (ppm),BLUE: Oxygen (ppm),BLUE: Water (ppm),YELLOW: Hydrogen (ppm),YELLOW: Methane (ppm),YELLOW: Acetylene (ppm),YELLOW: Ethylene (ppm),YELLOW: Ethane (ppm),YELLOW: Carbon Monoxide (ppm),YELLOW: Carbon Dioxide (ppm),YELLOW: Oxygen (ppm),YELLOW: Water (ppm),RED: Hydrogen (ppm),RED: Methane (ppm),RED: Acetylene (ppm),RED: Ethylene (ppm),RED: Ethane (ppm),RED: Carbon Monoxide (ppm),RED: Carbon Dioxide (ppm),RED: Oxygen (ppm),RED: Water (ppm)
18/05/2015 01:00,,,,,,,,,,,,,,,,,,,10.6,41.1,0.2,7.4,109.5,255.1,617,674.9,2.0
18/05/2015 00:00,,,,,,,,,,15.7,28.5,0.1,4.6,72.1,200.9,849,681.0,2.0,,,,,,,,,
17/05/2015 23:00,10.6,48.2,0.2,6.8,123.4,257.1,735,660.1,2.0,,,,,,,,,,,,,,,,,,
17/05/2015 17:00,,,,,,,,,,,,,,,,,,,10.6,41.2,0.1,7.9,111.7,255.2,613,668.8,2.0
17/05/2015 16:00,,,,,,,,,,15.5,27.6,0.2,4.5,70.2,197.1,842,677.9,2.0,,,,,,,,,
17/05/2015 15:00,10.8,49.7,0.2,6.7,122.2,261.0,744,688.4,2.0,,,,,,,,,,,,,,,,,,
17/05/2015 09:00,,,,,,,,,,,,,,,,,,,10.6,41.2,0.1,8.0,113.9,259.5,620,670.7,2.0
17/05/2015 08:00,,,,,,,,,,15.1,26.8,0.2,4.6,72.9,196.0,839,684.3,2.0,,,,,,,,,
17/05/2015 07:00,10.5,49.1,0.1,6.6,121.0,260.3,743,682.2,2.0,,,,,,,,,,,,,,,,,,
17/05/2015 01:00,,,,,,,,,,,,,,,,,,,10.2,39.8,0.2,8.0,112.2,253.5,619,662.8,2.0
17/05/2015 00:00,,,,,,,,,,15.6,27.8,0.0,3.4,72.3,201.1,852,668.1,2.0,,,,,,,,,
16/05/2015 23:00,10.7,48.5,0.2,6.6,120.8,258.7,743,668.4,2.0,,,,,,,,,,,,,,,,,,
