Timestamp,Hydrogen (ppm),Methane (ppm),Acetylene (ppm),Ethylene (ppm),Ethane (ppm),Carbon Monoxide (ppm),Carbon Dioxide (ppm),Oxygen (ppm),Water (ppm)
09/07/2015 08:00,111.0,23.9,0.5,20.1,20.1,392.7,2969,23988.9,3.8
09/07/2015 00:00,113.6,23.8,0.6,20.1,20.6,394.0,2967,24069.3,3.7
08/07/2015 16:00,113.2,24.9,0.3,20.3,21.8,392.1,2974,23833.5,3.6
08/07/2015 08:00,115.9,24.8,0.5,20.5,22.1,392.6,2973,23878.9,3.8
08/07/2015 00:00,114.5,24.6,0.6,20.6,21.5,394.6,2978,23930.9,3.7
07/07/2015 16:00,117.0,25.2,0.3,21.2,24.9,397.0,2968,23818.5,3.5
07/07/2015 08:00,118.0,25.0,0.5,20.7,22.4,394.5,2967,23894.3,3.6
07/07/2015 00:00,117.7,25.0,0.5,20.8,22.7,394.9,2975,23937.8,3.6
06/07/2015 16:00,115.2,25.0,0.3,20.8,22.1,393.6,2973,23995.0,3.6
06/07/2015 08:00,115.3,23.8,0.4,20.3,21.2,394.2,2979,23985.3,3.8
06/07/2015 00:00,114.7,23.9,0.3,20.0,20.2,393.2,2957,23960.2,3.8
05/07/2015 16:00,115.5,25.4,0.5,20.9,25.2,393.3,2964,23589.3,3.4
05/07/2015 08:00,113.6,24.2,0.5,20.1,21.8,393.4,2959,23845.0,3.6
05/07/2015 00:00,114.8,24.4,0.3,20.1,21.2,393.3,2956,23851.1,3.4
04/07/2015 16:00,121.2,25.5,0.3,20.8,24.9,393.5,2965,23686.7,3.3
04/07/2015 08:00,118.4,24.9,0.6,20.2,20.7,394.1,2970,23980.0,3.6
04/07/2015 00:00,116.3,24.2,0.5,20.0,21.3,391.8,2957,23855.5,3.4
03/07/2015 16:00,117.3,25.6,0.5,20.5,25.4,393.3,2954,23589.7,3.2
03/07/2015 08:00,115.3,24.3,0.4,19.7,20.6,392.9,2957,23887.1,3.7
03/07/2015 00:00,115.0,24.0,0.5,19.4,19.4,393.0,2951,23869.0,3.5
02/07/2015 16:00,117.7,25.4,0.3,20.3,22.9,388.9,2939,23623.5,3.3
02/07/2015 08:00,119.2,24.9,0.5,20.2,21.2,395.3,2975,23823.9,3.5
02/07/2015 00:00,117.5,25.6,0.4,20.2,20.9,394.5,2945,23752.0,3.4
01/07/2015 16:00,117.5,25.6,0.3,20.3,21.0,394.0,2953,23770.3,3.4
01/07/2015 08:00,117.7,24.6,0.6,20.2,19.8,394.3,2966,23742.3,3.4
