Timestamp,BLUE PHASE: Hydrogen (ppm),BLUE PHASE: Methane (ppm),BLUE PHASE: Acetylene (ppm),BLUE PHASE: Ethylene (ppm),BLUE PHASE: Ethane (ppm),BLUE PHASE: Carbon Monoxide (ppm),BLUE PHASE: Carbon Dioxide (ppm),BLUE PHASE: Oxygen (ppm),BLUE PHASE: Water (ppm),YELLOW PHASE: Hydrogen (ppm),YELLOW PHASE: Methane (ppm),YELLOW PHASE: Acetylene (ppm),YELLOW PHASE: Ethylene (ppm),YELLOW PHASE: Ethane (ppm),YELLOW PHASE: Carbon Monoxide (ppm),YELLOW PHASE: Carbon Dioxide (ppm),YELLOW PHASE: Oxygen (ppm),YELLOW PHASE: Water (ppm),RED PHASE: Hydrogen (ppm),RED PHASE: Methane (ppm),RED PHASE: Acetylene (ppm),RED PHASE: Ethylene (ppm),RED PHASE: Ethane (ppm),RED PHASE: Carbon Monoxide (ppm),RED PHASE: Carbon Dioxide (ppm),RED PHASE: Oxygen (ppm),RED PHASE: Water (ppm)
09/07/2015 07:00,,,,,,,,,,,,,,,,,,,10.9,4.8,0.1,4.0,11.9,307.2,1644,13447.7,4.7
09/07/2015 06:00,,,,,,,,,,31.9,10.6,0.5,2.0,17.5,436.6,2118,10144.3,6.5,,,,,,,,,
09/07/2015 05:00,16.8,9.0,0.4,3.2,18.7,507.9,2097,7543.2,5.9,,,,,,,,,,,,,,,,,,
08/07/2015 23:00,,,,,,,,,,,,,,,,,,,11.2,5.1,0.7,1.6,8.8,307.2,1648,13441.7,4.6
08/07/2015 22:00,,,,,,,,,,31.7,8.9,0.5,5.7,23.2,431.3,2107,10142.1,6.4,,,,,,,,,
08/07/2015 21:00,16.6,9.2,0.0,1.0,20.0,504.6,2084,7495.6,5.9,,,,,,,,,,,,,,,,,,
08/07/2015 15:00,,,,,,,,,,,,,,,,,,,11.1,4.9,0.3,4.5,8.3,308.1,1633,13760.8,4.8
08/07/2015 14:00,,,,,,,,,,32.4,10.6,0.6,6.1,16.3,434.6,2114,10262.8,6.4,,,,,,,,,
08/07/2015 13:00,16.3,10.9,0.0,2.0,17.0,493.1,2056,7500.6,5.9,,,,,,,,,,,,,,,,,,
08/07/2015 07:00,,,,,,,,,,,,,,,,,,,11.2,5.1,0.5,4.7,7.9,307.8,1644,13505.6,4.7
08/07/2015 06:00,,,,,,,,,,31.8,11.8,0.0,5.5,20.0,434.8,2120,10148.0,6.4,,,,,,,,,
08/07/2015 05:00,16.9,10.5,0.4,2.7,17.9,512.1,2100,7499.3,5.9,,,,,,,,,,,,,,,,,,
07/07/2015 23:00,,,,,,,,,,,,,,,,,,,10.9,7.5,0.0,4.9,4.7,307.8,1644,13416.4,4.7
07/07/2015 22:00,,,,,,,,,,32.4,9.6,0.2,0.8,23.3,438.2,2134,10157.7,6.4,,,,,,,,,
07/07/2015 21:00,16.6,10.5,0.0,2.4,17.8,507.0,2088,7521.0,5.8,,,,,,,,,,,,,,,,,,
07/07/2015 15:00,,,,,,,,,,,,,,,,,,,11.3,6.8,0.4,4.2,6.0,305.1,1637,13895.9,4.8
07/07/2015 14:00,,,,,,,,,,32.9,10.4,0.6,0.1,21.8,437.7,2119,10238.3,6.4,,,,,,,,,
07/07/2015 13:00,16.1,8.1,0.0,3.0,21.0,502.7,2073,7549.5,5.7,,,,,,,,,,,,,,,,,,
07/07/2015 07:00,,,,,,,,,,,,,,,,,,,11.0,7.5,0.5,2.9,4.1,309.2,1655,13541.0,4.7
07/07/2015 06:00,,,,,,,,,,31.7,8.6,0.1,5.8,23.4,431.3,2116,10216.4,6.5,,,,,,,,,
07/07/2015 05:00,16.8,9.2,0.4,2.3,19.0,513.0,2099,7503.4,5.9,,,,,,,,,,,,,,,,,,
06/07/2015 23:00,,,,,,,,,,,,,,,,,,,11.3,7.3,0.4,2.4,3.9,309.4,1647,13485.9,4.6
06/07/2015 22:00,,,,,,,,,,32.1,10.3,0.0,3.2,19.4,439.0,2131,10126.3,6.4,,,,,,,,,
06/07/2015 21:00,16.6,9.1,0.0,2.8,20.8,507.1,2094,7504.3,5.9,,,,,,,,,,,,,,,,,,
06/07/2015 15:00,,,,,,,,,,,,,,,,,,,11.0,6.5,0.0,2.1,4.4,308.2,1651,13492.9,4.7
06/07/2015 14:00,,,,,,,,,,31.8,10.8,0.3,5.0,21.2,435.9,2129,10171.8,6.4,,,,,,,,,
06/07/2015 13:00,16.5,8.4,0.0,1.3,20.2,507.8,2096,7451.8,6.0,,,,,,,,,,,,,,,,,,
06/07/2015 07:00,,,,,,,,,,,,,,,,,,,11.5,6.2,0.4,3.7,6.2,309.8,1662,13637.5,4.8
06/07/2015 06:00,,,,,,,,,,34.2,11.2,0.1,5.1,20.4,451.0,2167,10177.4,6.5,,,,,,,,,
06/07/2015 05:00,16.7,8.5,0.3,3.3,21.4,510.0,2102,7434.8,6.1,,,,,,,,,,,,,,,,,,
05/07/2015 23:00,,,,,,,,,,,,,,,,,,,11.2,7.8,0.0,5.6,2.2,313.5,1658,13371.0,4.7
05/07/2015 22:00,,,,,,,,,,32.5,10.3,0.4,4.1,17.5,438.0,2136,10173.8,6.4,,,,,,,,,
05/07/2015 21:00,16.7,9.1,0.0,0.5,18.1,509.2,2080,7531.1,5.9,,,,,,,,,,,,,,,,,,
05/07/2015 15:00,,,,,,,,,,,,,,,,,,,11.2,6.0,0.2,5.1,7.5,307.1,1640,13490.7,4.7
05/07/2015 14:00,,,,,,,,,,32.2,10.1,0.3,4.0,18.2,435.6,2134,10136.5,6.4,,,,,,,,,
05/07/2015 13:00,16.6,9.3,0.6,2.7,19.8,506.9,2093,7438.3,6.0,,,,,,,,,,,,,,,,,,
05/07/2015 07:00,,,,,,,,,,,,,,,,,,,11.5,9.0,0.4,2.2,5.6,309.9,1662,13703.9,4.8
05/07/2015 06:00,,,,,,,,,,33.3,11.2,0.8,3.5,23.6,440.6,2160,10181.8,6.5,,,,,,,,,
05/07/2015 05:00,16.5,7.9,0.2,2.7,16.7,503.7,2096,7413.7,6.1,,,,,,,,,,,,,,,,,,
04/07/2015 23:00,,,,,,,,,,,,,,,,,,,10.9,7.9,0.2,2.3,4.7,305.2,1633,13545.0,4.7
04/07/2015 22:00,,,,,,,,,,32.5,11.0,0.3,6.0,21.2,436.1,2131,10220.6,6.4,,,,,,,,,
04/07/2015 21:00,16.4,10.2,0.2,0.8,15.2,503.8,2078,7503.4,5.7,,,,,,,,,,,,,,,,,,
04/07/2015 15:00,,,,,,,,,,,,,,,,,,,11.7,8.9,0.6,2.1,3.5,305.6,1605,14562.4,5.0
04/07/2015 14:00,,,,,,,,,,33.6,11.6,0.4,6.4,17.9,432.5,2105,10380.6,6.4,,,,,,,,,
04/07/2015 13:00,16.4,10.1,0.5,3.0,18.3,506.0,2061,7581.9,5.6,,,,,,,,,,,,,,,,,,
04/07/2015 07:00,,,,,,,,,,,,,,,,,,,11.2,7.7,0.8,2.7,5.1,308.3,1626,13905.4,4.7
04/07/2015 06:00,,,,,,,,,,32.4,11.6,0.4,3.5,18.5,431.6,2118,10276.2,6.4,,,,,,,,,
04/07/2015 05:00,16.6,9.0,0.3,2.6,20.0,509.8,2084,7526.8,5.8,,,,,,,,,,,,,,,,,,
03/07/2015 23:00,,,,,,,,,,,,,,,,,,,11.5,8.0,0.2,5.1,2.2,306.1,1606,14321.9,4.9
03/07/2015 22:00,,,,,,,,,,33.7,10.1,0.2,4.4,18.8,438.0,2120,10376.4,6.4,,,,,,,,,
03/07/2015 21:00,16.1,9.8,0.3,2.8,19.3,503.5,2069,7537.1,5.6,,,,,,,,,,,,,,,,,,
03/07/2015 15:00,,,,,,,,,,,,,,,,,,,11.5,5.7,0.4,1.9,5.3,304.4,1602,14353.7,4.9
03/07/2015 14:00,,,,,,,,,,33.4,9.6,0.0,6.0,20.7,434.8,2123,10334.6,6.4,,,,,,,,,
03/07/2015 13:00,16.1,10.7,0.5,2.7,16.7,506.4,2065,7567.1,5.7,,,,,,,,,,,,,,,,,,
03/07/2015 07:00,,,,,,,,,,,,,,,,,,,11.8,5.6,0.0,1.0,6.5,310.6,1650,13630.0,4.7
03/07/2015 06:00,,,,,,,,,,32.8,9.0,0.6,4.3,21.1,440.2,2161,10172.1,6.4,,,,,,,,,
03/07/2015 05:00,16.4,7.9,0.7,3.0,22.3,503.9,2097,7408.6,6.0,,,,,,,,,,,,,,,,,,
02/07/2015 23:00,,,,,,,,,,,,,,,,,,,10.6,6.5,0.5,4.1,5.6,299.4,1607,13357.9,4.5
02/07/2015 22:00,,,,,,,,,,32.1,9.2,0.4,0.0,19.3,434.2,2118,10169.6,6.4,,,,,,,,,
02/07/2015 21:00,16.4,10.4,0.1,2.3,15.9,502.2,2071,7520.1,5.9,,,,,,,,,,,,,,,,,,
02/07/2015 15:00,,,,,,,,,,,,,,,,,,,11.0,5.4,0.1,4.0,8.9,309.6,1647,13582.6,4.6
02/07/2015 14:00,,,,,,,,,,32.4,9.5,0.3,5.4,23.9,436.7,2152,10141.4,6.4,,,,,,,,,
02/07/2015 13:00,16.4,10.4,0.0,2.9,17.3,500.6,2073,7481.9,6.0,,,,,,,,,,,,,,,,,,
02/07/2015 07:00,,,,,,,,,,,,,,,,,,,10.6,5.0,0.4,5.0,8.8,304.5,1627,13563.3,4.6
02/07/2015 06:00,,,,,,,,,,32.4,9.2,0.2,6.6,23.8,437.6,2151,10167.0,6.5,,,,,,,,,
02/07/2015 05:00,16.5,8.5,0.3,1.7,21.1,505.1,2079,7483.3,5.9,,,,,,,,,,,,,,,,,,
01/07/2015 23:00,,,,,,,,,,,,,,,,,,,10.7,5.6,0.0,1.1,8.1,302.3,1614,13697.4,4.6
01/07/2015 22:00,,,,,,,,,,32.1,9.3,0.3,6.5,24.7,433.3,2139,10205.9,6.5,,,,,,,,,
01/07/2015 21:00,16.1,10.9,0.3,2.3,17.3,500.3,2065,7493.3,5.8,,,,,,,,,,,,,,,,,,
01/07/2015 15:00,,,,,,,,,,,,,,,,,,,12.1,7.7,0.5,4.3,3.9,308.7,1617,14983.0,5.1
01/07/2015 14:00,,,,,,,,,,34.3,9.8,0.3,3.5,17.7,436.3,2129,10475.5,6.6,,,,,,,,,
01/07/2015 13:00,16.0,8.6,0.4,2.9,22.4,500.1,2050,7569.5,5.7,,,,,,,,,,,,,,,,,,
01/07/2015 07:00,,,,,,,,,,,,,,,,,,,11.2,4.3,0.2,5.0,9.6,307.7,1623,13924.9,4.7
01/07/2015 06:00,,,,,,,,,,32.7,9.8,0.3,6.7,20.6,436.5,2148,10239.1,6.8,,,,,,,,,
01/07/2015 05:00,16.1,9.0,0.4,0.0,20.9,505.3,2070,7476.8,5.7,,,,,,,,,,,,,,,,,,
30/06/2015 23:00,,,,,,,,,,,,,,,,,,,11.4,6.8,0.3,4.1,4.0,309.4,1626,14201.8,4.9
30/06/2015 22:00,,,,,,,,,,33.0,9.8,0.6,6.7,19.7,434.7,2140,10203.0,6.8,,,,,,,,,
30/06/2015 21:00,15.4,8.8,0.6,1.0,21.3,497.3,2037,7471.1,5.2,,,,,,,,,,,,,,,,,,
30/06/2015 15:00,,,,,,,,,,,,,,,,,,,12.2,5.8,0.8,4.2,6.9,303.0,1581,15407.6,5.3
30/06/2015 14:00,,,,,,,,,,34.6,10.6,0.9,1.1,19.4,433.1,2116,10613.2,7.4,,,,,,,,,
30/06/2015 13:00,16.0,8.4,0.6,1.1,19.0,501.4,2039,7605.9,5.5,,,,,,,,,,,,,,,,,,
30/06/2015 07:00,,,,,,,,,,,,,,,,,,,11.5,7.0,0.2,3.6,6.2,310.0,1651,13733.0,4.7
30/06/2015 06:00,,,,,,,,,,32.7,9.6,0.6,6.3,23.2,438.7,2164,10186.8,7.5,,,,,,,,,
30/06/2015 05:00,16.3,6.9,0.4,1.1,20.1,508.1,2083,7400.5,5.9,,,,,,,,,,,,,,,,,,
29/06/2015 23:00,,,,,,,,,,,,,,,,,,,10.6,5.1,0.3,3.5,6.2,303.4,1616,13556.2,4.6
29/06/2015 22:00,,,,,,,,,,32.4,9.3,0.0,6.7,21.0,437.1,2150,10217.2,7.3,,,,,,,,,
29/06/2015 21:00,16.4,10.5,0.0,2.2,16.4,503.1,2052,7500.9,5.6,,,,,,,,,,,,,,,,,,
29/06/2015 15:00,,,,,,,,,,,,,,,,,,,11.3,5.6,0.0,5.0,6.7,304.0,1591,14497.8,4.9
29/06/2015 14:00,,,,,,,,,,33.2,10.5,0.3,0.4,16.1,434.6,2121,10418.7,7.3,,,,,,,,,
29/06/2015 13:00,16.1,9.7,0.2,2.4,19.0,502.6,2039,7547.0,5.7,,,,,,,,,,,,,,,,,,
29/06/2015 07:00,,,,,,,,,,,,,,,,,,,11.4,5.9,0.3,2.3,7.2,308.5,1627,13684.0,4.6
29/06/2015 06:00,,,,,,,,,,32.8,8.9,0.1,5.9,22.8,439.4,2160,10200.5,7.1,,,,,,,,,
29/06/2015 05:00,16.2,8.3,0.2,3.3,20.3,503.7,2059,7418.9,5.9,,,,,,,,,,,,,,,,,,
28/06/2015 23:00,,,,,,,,,,,,,,,,,,,10.5,4.7,0.0,0.4,8.1,302.2,1605,13470.6,4.4
28/06/2015 22:00,,,,,,,,,,31.8,8.0,0.0,1.3,19.7,435.0,2126,10199.1,6.6,,,,,,,,,
28/06/2015 21:00,16.4,7.6,0.3,1.8,20.2,506.7,2058,7499.1,5.5,,,,,,,,,,,,,,,,,,
28/06/2015 15:00,,,,,,,,,,,,,,,,,,,10.6,5.7,0.6,4.5,6.2,303.6,1600,13708.1,4.3
28/06/2015 14:00,,,,,,,,,,31.5,8.0,0.3,7.5,24.4,428.5,2098,10258.8,6.5,,,,,,,,,
28/06/2015 13:00,16.3,9.2,0.1,2.6,22.9,505.7,2057,7507.8,5.5,,,,,,,,,,,,,,,,,,
28/06/2015 07:00,,,,,,,,,,,,,,,,,,,10.9,5.2,0.4,3.4,8.4,304.6,1612,13620.3,4.3
28/06/2015 06:00,,,,,,,,,,32.0,9.1,0.6,5.9,21.4,435.3,2135,10188.1,6.4,,,,,,,,,
28/06/2015 05:00,15.7,7.9,0.5,1.5,21.9,489.7,2019,7426.2,5.6,,,,,,,,,,,,,,,,,,
27/06/2015 23:00,,,,,,,,,,,,,,,,,,,10.4,6.1,0.3,5.2,7.1,300.7,1611,13489.0,4.3
27/06/2015 22:00,,,,,,,,,,32.0,11.0,0.3,1.6,19.5,435.6,2125,10216.3,6.4,,,,,,,,,
27/06/2015 21:00,16.1,8.4,0.5,1.3,18.4,501.0,2041,7493.3,5.4,,,,,,,,,,,,,,,,,,
27/06/2015 15:00,,,,,,,,,,,,,,,,,,,10.8,5.6,0.4,4.4,5.6,301.3,1580,14074.1,4.4
27/06/2015 14:00,,,,,,,,,,32.6,10.9,0.5,6.0,18.9,432.3,2112,10277.2,6.3,,,,,,,,,
27/06/2015 13:00,15.9,10.1,0.3,2.0,16.5,503.2,2037,7536.8,5.2,,,,,,,,,,,,,,,,,,
27/06/2015 07:00,,,,,,,,,,,,,,,,,,,10.9,7.1,0.3,4.3,5.2,305.2,1620,13657.0,4.3
27/06/2015 06:00,,,,,,,,,,31.9,12.8,0.3,1.3,15.8,433.8,2129,10140.8,6.3,,,,,,,,,
27/06/2015 05:00,15.8,8.0,0.0,0.0,17.7,498.6,2050,7362.7,5.5,,,,,,,,,,,,,,,,,,
26/06/2015 23:00,,,,,,,,,,,,,,,,,,,11.2,6.2,0.4,4.3,6.9,312.2,1636,13531.8,4.2
26/06/2015 22:00,,,,,,,,,,31.3,12.0,0.9,6.1,19.3,435.5,2141,10121.6,6.2,,,,,,,,,
26/06/2015 21:00,16.0,9.1,0.3,2.5,21.5,504.0,2067,7425.8,5.4,,,,,,,,,,,,,,,,,,
26/06/2015 15:00,,,,,,,,,,,,,,,,,,,10.6,5.3,0.4,1.9,6.8,302.8,1608,13959.8,4.4
26/06/2015 14:00,,,,,,,,,,33.2,12.4,0.2,6.8,17.0,449.9,2174,10257.2,6.4,,,,,,,,,
26/06/2015 13:00,16.1,10.0,0.4,2.8,19.9,507.3,2065,7499.8,5.3,,,,,,,,,,,,,,,,,,
26/06/2015 07:00,,,,,,,,,,,,,,,,,,,10.9,5.9,0.1,4.1,6.4,305.8,1628,13726.9,4.3
26/06/2015 06:00,,,,,,,,,,32.7,10.2,0.1,5.6,24.9,442.1,2162,10193.2,6.3,,,,,,,,,
26/06/2015 05:00,15.6,8.5,0.0,2.7,20.4,491.3,2043,7357.8,5.5,,,,,,,,,,,,,,,,,,
25/06/2015 23:00,,,,,,,,,,,,,,,,,,,11.5,6.8,0.4,4.2,5.8,317.4,1658,13564.2,4.2
25/06/2015 22:00,,,,,,,,,,31.8,10.3,0.1,6.5,23.2,436.2,2142,10107.6,6.4,,,,,,,,,
25/06/2015 21:00,16.1,10.7,0.1,2.1,17.3,505.3,2076,7435.8,5.3,,,,,,,,,,,,,,,,,,
25/06/2015 15:00,,,,,,,,,,,,,,,,,,,0.0,5.6,0.5,0.2,5.3,307.0,1615,14137.3,4.5
