Timestamp,C: Hydrogen (ppm),C: Methane (ppm),C: Acetylene (ppm),C: Ethylene (ppm),C: Ethane (ppm),C: Carbon Monoxide (ppm),C: Carbon Dioxide (ppm),C: Oxygen (ppm),C: Water (ppm),B: Hydrogen (ppm),B: Methane (ppm),B: Acetylene (ppm),B: Ethylene (ppm),B: Ethane (ppm),B: Carbon Monoxide (ppm),B: Carbon Dioxide (ppm),B: Oxygen (ppm),B: Water (ppm),A: Hydrogen (ppm),A: Methane (ppm),A: Acetylene (ppm),A: Ethylene (ppm),A: Ethane (ppm),A: Carbon Monoxide (ppm),A: Carbon Dioxide (ppm),A: Oxygen (ppm),A: Water (ppm)
09/07/2015 07:50,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/07/2015 06:00,,,,,,,,,,,,,,,,,,,12.3,75.8,0.0,11.1,365.3,197.7,2230,612.4,5.7
09/07/2015 05:00,,,,,,,,,,16.8,67.9,0.0,10.7,311.5,316.8,3232,1378.6,7.2,,,,,,,,,
09/07/2015 04:00,18.6,82.9,0.0,7.9,416.2,183.8,2591,577.0,5.9,,,,,,,,,,,,,,,,,,
09/07/2015 03:50,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/07/2015 23:50,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/07/2015 22:00,,,,,,,,,,,,,,,,,,,12.4,76.4,0.0,10.9,353.7,201.3,2248,624.0,5.8
08/07/2015 21:00,,,,,,,,,,16.8,68.1,0.0,10.4,296.6,316.1,3239,1355.0,7.4,,,,,,,,,
08/07/2015 20:00,19.0,83.1,0.0,7.5,411.1,183.4,2589,554.2,5.9,,,,,,,,,,,,,,,,,,
08/07/2015 19:50,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/07/2015 15:50,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/07/2015 14:00,,,,,,,,,,,,,,,,,,,12.4,75.2,0.0,10.5,345.7,197.6,2234,609.0,5.9
08/07/2015 13:00,,,,,,,,,,17.3,67.4,0.0,10.2,292.6,317.2,3246,1352.4,7.5,,,,,,,,,
08/07/2015 12:00,19.5,82.8,0.0,8.0,420.8,184.7,2598,557.1,6.0,,,,,,,,,,,,,,,,,,
08/07/2015 11:50,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/07/2015 07:50,,,,,,,,,,,,,,,,,,,,,,,,,,,
