Timestamp,RED: Hydrogen (ppm),RED: Methane (ppm),RED: Acetylene (ppm),RED: Ethylene (ppm),RED: Ethane (ppm),RED: Carbon Monoxide (ppm),RED: Carbon Dioxide (ppm),RED: Oxygen (ppm),RED: Water (ppm),YELLOW: Hydrogen (ppm),YELLOW: Methane (ppm),YELLOW: Acetylene (ppm),YELLOW: Ethylene (ppm),YELLOW: Ethane (ppm),YELLOW: Carbon Monoxide (ppm),YELLOW: Carbon Dioxide (ppm),YELLOW: Oxygen (ppm),YELLOW: Water (ppm),BLUE: Hydrogen (ppm),BLUE: Methane (ppm),BLUE: Acetylene (ppm),BLUE: Ethylene (ppm),BLUE: Ethane (ppm),BLUE: Carbon Monoxide (ppm),BLUE: Carbon Dioxide (ppm),BLUE: Oxygen (ppm),BLUE: Water (ppm)
09/07/2015 07:00,,,,,,,,,,,,,,,,,,,7.1,6.3,0.4,0.5,2.7,139.9,414,10641.9,2.0
09/07/2015 06:00,,,,,,,,,,8.0,4.8,0.2,0.9,2.8,154.8,394,15333.3,2.0,,,,,,,,,
09/07/2015 05:00,14.2,9.7,2.2,2.3,9.2,264.8,1978,19849.4,8.0,,,,,,,,,,,,,,,,,,
08/07/2015 23:00,,,,,,,,,,,,,,,,,,,7.1,6.5,0.3,0.5,2.8,140.6,413,10649.5,2.0
08/07/2015 22:00,,,,,,,,,,7.9,4.8,0.5,0.6,2.1,149.2,399,15304.6,2.0,,,,,,,,,
08/07/2015 21:00,14.2,9.7,2.2,2.2,8.8,260.0,1933,19771.8,7.7,,,,,,,,,,,,,,,,,,
08/07/2015 15:00,,,,,,,,,,,,,,,,,,,7.5,6.8,0.5,0.7,3.2,143.4,412,10628.0,2.0
08/07/2015 14:00,,,,,,,,,,7.7,5.1,0.5,0.6,3.5,146.0,398,15236.6,2.0,,,,,,,,,
08/07/2015 13:00,14.6,10.4,2.4,2.7,10.9,275.8,2015,19789.2,7.6,,,,,,,,,,,,,,,,,,
08/07/2015 07:00,,,,,,,,,,,,,,,,,,,7.2,6.3,0.5,0.7,3.8,140.7,416,10660.7,2.0
08/07/2015 06:00,,,,,,,,,,8.2,5.3,0.4,0.6,3.5,154.7,388,15288.7,2.0,,,,,,,,,
08/07/2015 05:00,13.8,10.1,2.6,2.3,10.6,260.4,1953,19821.1,8.0,,,,,,,,,,,,,,,,,,
07/07/2015 23:00,,,,,,,,,,,,,,,,,,,7.2,6.8,0.5,0.6,2.8,140.1,407,10654.3,2.0
07/07/2015 22:00,,,,,,,,,,7.7,4.9,0.5,0.6,2.9,146.1,396,15315.5,2.0,,,,,,,,,
07/07/2015 21:00,14.1,10.3,2.4,2.3,9.3,260.0,1947,19834.3,7.7,,,,,,,,,,,,,,,,,,
07/07/2015 15:00,,,,,,,,,,,,,,,,,,,7.4,6.5,0.3,0.7,4.9,143.4,414,10605.1,2.0
07/07/2015 14:00,,,,,,,,,,7.8,5.5,0.4,0.7,3.9,149.4,390,15234.0,2.0,,,,,,,,,
07/07/2015 13:00,14.7,10.7,2.3,2.5,10.8,275.5,1996,19779.7,7.4,,,,,,,,,,,,,,,,,,
07/07/2015 07:00,,,,,,,,,,,,,,,,,,,7.6,6.6,0.6,0.6,4.0,145.2,408,10658.4,2.0
07/07/2015 06:00,,,,,,,,,,8.6,5.2,0.4,0.8,3.3,159.7,392,15281.1,2.0,,,,,,,,,
07/07/2015 05:00,14.1,10.2,2.4,2.5,10.0,267.2,1980,19785.5,7.5,,,,,,,,,,,,,,,,,,
06/07/2015 23:00,,,,,,,,,,,,,,,,,,,7.5,7.1,0.8,0.5,3.8,142.0,413,10649.5,2.0
06/07/2015 22:00,,,,,,,,,,8.1,5.0,0.5,0.5,3.4,147.9,396,15274.7,2.0,,,,,,,,,
06/07/2015 21:00,14.2,9.6,2.5,2.6,9.4,259.0,1920,19862.7,7.4,,,,,,,,,,,,,,,,,,
06/07/2015 15:00,,,,,,,,,,,,,,,,,,,7.4,6.3,0.4,0.7,3.7,141.9,412,10636.3,2.0
06/07/2015 14:00,,,,,,,,,,8.3,5.1,0.7,0.5,3.2,158.7,387,15223.6,2.0,,,,,,,,,
06/07/2015 13:00,13.8,9.0,2.1,1.9,9.7,254.6,1900,19775.6,7.2,,,,,,,,,,,,,,,,,,
06/07/2015 07:00,,,,,,,,,,,,,,,,,,,7.2,5.9,0.3,0.3,3.5,138.8,409,10623.3,2.0
06/07/2015 06:00,,,,,,,,,,8.3,4.9,0.5,0.6,2.5,156.8,391,15252.3,2.0,,,,,,,,,
06/07/2015 05:00,14.3,9.7,2.3,1.8,8.3,267.1,1953,19828.8,6.5,,,,,,,,,,,,,,,,,,
05/07/2015 23:00,,,,,,,,,,,,,,,,,,,7.0,6.4,0.5,0.3,2.7,137.7,410,10654.6,2.0
05/07/2015 22:00,,,,,,,,,,8.2,4.8,0.5,0.6,2.4,155.2,386,15230.9,2.0,,,,,,,,,
05/07/2015 21:00,13.9,9.8,2.2,1.9,7.6,258.8,1919,19808.6,6.0,,,,,,,,,,,,,,,,,,
05/07/2015 15:00,,,,,,,,,,,,,,,,,,,7.3,6.6,0.6,0.1,3.2,141.2,407,10655.6,2.0
05/07/2015 14:00,,,,,,,,,,7.8,5.5,0.6,0.7,3.4,150.7,384,15205.1,2.0,,,,,,,,,
05/07/2015 13:00,14.3,9.5,2.3,1.9,11.1,269.6,1948,19706.4,5.6,,,,,,,,,,,,,,,,,,
05/07/2015 07:00,,,,,,,,,,,,,,,,,,,7.1,6.6,0.5,0.4,3.4,139.9,413,10597.2,2.0
05/07/2015 06:00,,,,,,,,,,7.6,5.6,0.6,0.5,2.0,148.0,397,15251.2,2.0,,,,,,,,,
05/07/2015 05:00,14.0,10.3,2.2,1.5,8.1,266.2,1961,19860.2,6.2,,,,,,,,,,,,,,,,,,
04/07/2015 23:00,,,,,,,,,,,,,,,,,,,7.5,6.6,0.4,0.4,2.5,137.7,404,10629.3,2.0
04/07/2015 22:00,,,,,,,,,,8.1,5.2,0.5,0.6,2.4,157.1,395,15203.5,2.0,,,,,,,,,
04/07/2015 21:00,13.6,9.4,2.3,1.3,8.5,252.0,1895,19811.9,5.9,,,,,,,,,,,,,,,,,,
04/07/2015 15:00,,,,,,,,,,,,,,,,,,,7.5,6.6,0.4,0.6,3.9,142.1,408,10532.2,2.0
04/07/2015 14:00,,,,,,,,,,8.3,5.1,0.5,0.5,3.4,156.7,385,15182.3,2.0,,,,,,,,,
04/07/2015 13:00,14.4,9.8,2.7,1.6,10.3,267.4,1957,19749.6,5.7,,,,,,,,,,,,,,,,,,
04/07/2015 07:00,,,,,,,,,,,,,,,,,,,7.3,7.0,0.5,0.4,3.1,138.3,414,10562.5,2.0
04/07/2015 06:00,,,,,,,,,,8.1,4.8,0.8,0.6,3.0,148.6,389,15156.2,2.0,,,,,,,,,
04/07/2015 05:00,13.9,9.6,2.6,1.4,8.7,255.8,1912,19806.8,5.9,,,,,,,,,,,,,,,,,,
03/07/2015 23:00,,,,,,,,,,,,,,,,,,,7.4,6.9,0.2,0.3,2.4,142.7,409,10574.0,2.0
03/07/2015 22:00,,,,,,,,,,7.7,4.9,0.4,0.8,2.6,146.3,382,15158.2,2.0,,,,,,,,,
03/07/2015 21:00,13.8,10.3,2.2,1.4,8.7,256.7,1927,19715.4,5.9,,,,,,,,,,,,,,,,,,
03/07/2015 15:00,,,,,,,,,,,,,,,,,,,7.3,6.8,0.7,0.5,4.7,137.5,412,10472.9,2.0
03/07/2015 14:00,,,,,,,,,,8.4,4.9,0.5,0.4,3.5,153.5,387,15068.8,2.0,,,,,,,,,
03/07/2015 13:00,14.6,10.0,2.6,1.3,8.9,257.1,1934,19756.8,5.8,,,,,,,,,,,,,,,,,,
03/07/2015 07:00,,,,,,,,,,,,,,,,,,,7.3,7.0,0.1,0.4,2.0,134.0,414,10485.7,2.0
