Timestamp,RED PHASE: Hydrogen (ppm),RED PHASE: Methane (ppm),RED PHASE: Acetylene (ppm),RED PHASE: Ethylene (ppm),RED PHASE: Ethane (ppm),RED PHASE: Carbon Monoxide (ppm),RED PHASE: Carbon Dioxide (ppm),RED PHASE: Water (ppm),YELLOW PHASE: Hydrogen (ppm),YELLOW PHASE: Methane (ppm),YELLOW PHASE: Acetylene (ppm),YELLOW PHASE: Ethylene (ppm),YELLOW PHASE: Ethane (ppm),YELLOW PHASE: Carbon Monoxide (ppm),YELLOW PHASE: Carbon Dioxide (ppm),YELLOW PHASE: Oxygen (ppm),YELLOW PHASE: Water (ppm),BLUE PHASE: Hydrogen (ppm),BLUE PHASE: Methane (ppm),BLUE PHASE: Acetylene (ppm),BLUE PHASE: Ethylene (ppm),BLUE PHASE: Ethane (ppm),BLUE PHASE: Carbon Monoxide (ppm),BLUE PHASE: Carbon Dioxide (ppm),BLUE PHASE: Oxygen (ppm),BLUE PHASE: Water (ppm)
09/07/2015 11:00,,,,,,,,,,,,,,,,,,1.5,1.8,0.2,0.3,2.2,67.9,718,14128.4,2.0
09/07/2015 10:00,,,,,,,,,2.4,2.1,0.4,0.4,1.5,75.5,684,10350.2,2.0,,,,,,,,,
09/07/2015 09:00,5.3,2.1,0.0,1.3,6.0,29.1,822,2.0,,,,,,,,,,,,,,,,,,
09/07/2015 07:00,,,,,,,,,,,,,,,,,,1.5,2.2,0.0,0.3,1.4,68.2,718,14131.6,2.0
09/07/2015 06:00,,,,,,,,,2.4,2.2,0.5,0.5,1.8,75.5,683,10349.3,2.0,,,,,,,,,
09/07/2015 05:00,5.3,2.5,0.0,0.9,5.2,29.2,822,2.0,,,,,,,,,,,,,,,,,,
09/07/2015 03:00,,,,,,,,,,,,,,,,,,1.5,2.2,0.1,0.3,0.7,68.2,716,14138.1,2.0
09/07/2015 02:00,,,,,,,,,2.4,2.2,0.5,0.3,1.3,75.3,681,10370.2,2.0,,,,,,,,,
09/07/2015 01:00,5.3,2.4,0.1,1.0,4.7,29.2,825,2.0,,,,,,,,,,,,,,,,,,
08/07/2015 23:00,,,,,,,,,,,,,,,,,,1.5,2.2,0.1,0.2,0.9,68.4,717,14159.4,2.0
08/07/2015 22:00,,,,,,,,,2.4,2.2,0.5,0.4,1.2,75.3,685,10345.9,2.0,,,,,,,,,
08/07/2015 21:00,5.3,2.5,0.0,1.0,4.5,29.0,822,2.0,,,,,,,,,,,,,,,,,,
08/07/2015 19:00,,,,,,,,,,,,,,,,,,1.5,2.2,0.0,0.4,1.5,68.1,716,14058.7,2.0
08/07/2015 18:00,,,,,,,,,2.5,1.8,0.4,0.5,2.9,75.9,687,10335.8,2.0,,,,,,,,,
08/07/2015 17:00,5.5,2.5,0.0,1.1,6.3,29.0,823,2.0,,,,,,,,,,,,,,,,,,
08/07/2015 15:00,,,,,,,,,,,,,,,,,,1.6,1.8,0.1,0.5,2.1,68.5,715,14062.7,2.0
08/07/2015 14:00,,,,,,,,,2.5,2.6,0.6,0.5,2.3,75.6,681,10304.2,2.0,,,,,,,,,
08/07/2015 13:00,5.4,2.3,0.0,1.1,5.7,28.9,823,2.0,,,,,,,,,,,,,,,,,,
08/07/2015 11:00,,,,,,,,,,,,,,,,,,1.5,2.3,0.1,0.4,1.2,68.3,722,14073.0,2.0
08/07/2015 10:00,,,,,,,,,2.5,2.4,0.6,0.6,1.8,75.9,682,10318.8,2.0,,,,,,,,,
08/07/2015 09:00,5.5,1.9,0.1,1.1,5.7,29.1,819,2.0,,,,,,,,,,,,,,,,,,
08/07/2015 07:00,,,,,,,,,,,,,,,,,,1.6,2.4,0.1,0.4,1.5,68.5,726,14076.9,2.0
08/07/2015 06:00,,,,,,,,,2.5,2.0,0.5,0.8,2.4,75.6,685,10303.1,2.0,,,,,,,,,
08/07/2015 05:00,5.5,2.0,0.0,1.2,6.0,29.2,821,2.0,,,,,,,,,,,,,,,,,,
08/07/2015 03:00,,,,,,,,,,,,,,,,,,1.6,1.8,0.1,0.4,1.7,68.4,719,14084.9,2.0
08/07/2015 02:00,,,,,,,,,2.5,2.1,0.5,0.5,2.2,75.7,687,10312.5,2.0,,,,,,,,,
08/07/2015 01:00,5.5,2.6,0.1,1.1,5.3,29.1,821,2.0,,,,,,,,,,,,,,,,,,
07/07/2015 23:00,,,,,,,,,,,,,,,,,,1.6,2.3,0.2,0.2,1.1,68.4,718,14076.5,2.0
07/07/2015 22:00,,,,,,,,,2.5,2.1,0.6,0.7,1.7,76.0,684,10331.3,2.0,,,,,,,,,
07/07/2015 21:00,5.5,2.5,0.1,1.1,5.1,29.1,820,2.0,,,,,,,,,,,,,,,,,,
07/07/2015 19:00,,,,,,,,,,,,,,,,,,1.6,1.8,0.0,0.4,1.9,68.4,720,14062.3,2.0
07/07/2015 18:00,,,,,,,,,2.5,1.9,0.3,0.7,2.6,76.3,685,10305.0,2.0,,,,,,,,,
07/07/2015 17:00,5.5,2.4,0.0,1.3,6.8,28.8,825,2.0,,,,,,,,,,,,,,,,,,
07/07/2015 15:00,,,,,,,,,,,,,,,,,,1.6,2.1,0.0,0.5,2.4,68.3,723,14011.8,2.0
07/07/2015 14:00,,,,,,,,,2.5,2.1,0.4,0.7,2.6,76.3,682,10275.4,2.0,,,,,,,,,
07/07/2015 13:00,5.5,2.3,0.0,1.3,6.7,28.8,817,2.0,,,,,,,,,,,,,,,,,,
07/07/2015 11:00,,,,,,,,,,,,,,,,,,1.6,2.2,0.1,0.4,2.2,68.6,717,14006.8,2.0
07/07/2015 10:00,,,,,,,,,2.5,2.1,0.5,0.8,3.1,75.6,682,10276.7,2.0,,,,,,,,,
07/07/2015 09:00,5.5,2.5,0.0,1.4,6.5,28.9,818,2.0,,,,,,,,,,,,,,,,,,
07/07/2015 07:00,,,,,,,,,,,,,,,,,,1.6,2.4,0.1,0.5,1.9,68.4,722,14032.6,2.0
07/07/2015 06:00,,,,,,,,,2.5,1.4,0.4,0.7,3.0,75.7,686,10276.8,2.0,,,,,,,,,
07/07/2015 05:00,5.5,2.3,0.1,1.2,5.9,28.9,817,2.0,,,,,,,,,,,,,,,,,,
07/07/2015 03:00,,,,,,,,,,,,,,,,,,1.6,2.5,0.4,0.5,1.9,68.6,728,14016.6,2.0
07/07/2015 02:00,,,,,,,,,2.5,1.6,0.6,0.6,3.2,75.6,685,10267.1,2.0,,,,,,,,,
07/07/2015 01:00,5.5,2.3,0.1,1.2,6.3,28.6,817,2.0,,,,,,,,,,,,,,,,,,
06/07/2015 23:00,,,,,,,,,,,,,,,,,,1.6,2.0,0.2,0.4,1.8,68.2,720,14009.4,2.0
06/07/2015 22:00,,,,,,,,,2.6,2.3,0.4,0.7,2.4,75.5,687,10277.8,2.0,,,,,,,,,
06/07/2015 21:00,5.5,2.4,0.1,1.2,5.7,28.7,814,2.0,,,,,,,,,,,,,,,,,,
06/07/2015 19:00,,,,,,,,,,,,,,,,,,1.6,1.9,0.1,0.4,2.0,68.3,721,13990.7,2.0
06/07/2015 18:00,,,,,,,,,2.6,1.6,0.7,0.6,2.6,75.2,686,10278.7,2.0,,,,,,,,,
06/07/2015 17:00,5.4,2.0,0.0,1.1,6.0,28.7,815,2.0,,,,,,,,,,,,,,,,,,
06/07/2015 15:00,,,,,,,,,,,,,,,,,,1.6,1.9,0.0,0.4,1.5,68.4,719,14031.6,2.0
06/07/2015 14:00,,,,,,,,,2.5,2.0,0.5,0.6,3.0,75.5,687,10218.5,2.0,,,,,,,,,
06/07/2015 13:00,5.3,2.4,0.0,1.2,6.4,28.5,811,2.0,,,,,,,,,,,,,,,,,,
06/07/2015 11:00,,,,,,,,,,,,,,,,,,1.5,2.2,0.3,0.5,2.2,68.5,723,13909.4,2.0
06/07/2015 10:00,,,,,,,,,2.4,1.6,0.4,0.7,3.0,75.5,679,10219.6,2.0,,,,,,,,,
06/07/2015 09:00,5.3,2.6,0.0,1.2,6.1,28.6,811,2.0,,,,,,,,,,,,,,,,,,
06/07/2015 07:00,,,,,,,,,,,,,,,,,,1.5,2.1,0.2,0.5,1.4,68.1,721,13934.8,2.0
06/07/2015 06:00,,,,,,,,,2.5,1.6,0.6,0.6,2.4,75.2,684,10236.8,2.0,,,,,,,,,
06/07/2015 05:00,5.4,2.5,0.1,1.2,5.1,28.7,812,2.0,,,,,,,,,,,,,,,,,,
06/07/2015 03:00,,,,,,,,,,,,,,,,,,1.6,1.9,0.1,0.5,1.1,68.0,719,13976.1,2.0
06/07/2015 02:00,,,,,,,,,2.5,1.6,0.5,0.5,1.9,75.6,684,10224.1,2.0,,,,,,,,,
