Timestamp,1MA-X001-1A: Hydrogen (ppm),1MA-X001-1A: Methane (ppm),1MA-X001-1A: Acetylene (ppm),1MA-X001-1A: Ethylene (ppm),1MA-X001-1A: Ethane (ppm),1MA-X001-1A: Carbon Monoxide (ppm),1MA-X001-1A: Carbon Dioxide (ppm),1MA-X001-1A: Oxygen (ppm),1MA-X001-1A: Water (ppm),1MA-X001-1B: Hydrogen (ppm),1MA-X001-1B: Methane (ppm),1MA-X001-1B: Acetylene (ppm),1MA-X001-1B: Ethylene (ppm),1MA-X001-1B: Ethane (ppm),1MA-X001-1B: Carbon Monoxide (ppm),1MA-X001-1B: Carbon Dioxide (ppm),1MA-X001-1B: Oxygen (ppm),1MA-X001-1B: Water (ppm),1MA-X001-1C: Hydrogen (ppm),1MA-X001-1C: Methane (ppm),1MA-X001-1C: Acetylene (ppm),1MA-X001-1C: Ethylene (ppm),1MA-X001-1C: Ethane (ppm),1MA-X001-1C: Carbon Monoxide (ppm),1MA-X001-1C: Carbon Dioxide (ppm),1MA-X001-1C: Oxygen (ppm),1MA-X001-1C: Water (ppm),Peripherals:Analog: 1-AIN 1 (xxx)
09/07/2015 11:00,6.4,4.3,1.3,4.0,1.8,153.9,357,12260.4,2.0,,,,,,,,,,,,,,,,,,,
09/07/2015 10:00,,,,,,,,,,,,,,,,,,,5.5,3.8,0.6,0.9,1.2,157.0,431,17872.4,2.0,
09/07/2015 09:00,,,,,,,,,,7.9,5.0,1.7,4.9,1.3,158.0,384,15750.6,2.0,,,,,,,,,,
09/07/2015 03:00,6.5,4.5,1.4,4.1,1.0,154.7,358,12308.3,2.0,,,,,,,,,,,,,,,,,,,
09/07/2015 02:00,,,,,,,,,,,,,,,,,,,5.7,4.0,0.9,1.3,1.0,158.2,442,17951.2,2.0,
09/07/2015 01:00,,,,,,,,,,8.1,5.4,1.8,5.3,1.2,160.7,393,15756.7,2.0,,,,,,,,,,
08/07/2015 19:00,6.8,5.1,1.6,4.8,1.4,155.2,361,12211.7,2.0,,,,,,,,,,,,,,,,,,,
08/07/2015 18:00,,,,,,,,,,,,,,,,,,,6.0,4.2,1.1,1.7,1.9,157.5,442,17767.9,2.0,
08/07/2015 17:00,,,,,,,,,,8.3,5.8,1.4,5.4,2.6,158.4,386,15511.1,2.0,,,,,,,,,,
08/07/2015 11:00,6.8,5.1,1.8,4.8,1.6,154.8,357,12171.0,2.0,,,,,,,,,,,,,,,,,,,
08/07/2015 10:00,,,,,,,,,,,,,,,,,,,5.9,4.2,0.8,1.7,2.1,156.5,437,17828.6,2.0,
