Timestamp,RED: Hydrogen (ppm),RED: Methane (ppm),RED: Acetylene (ppm),RED: Ethylene (ppm),RED: Ethane (ppm),RED: Carbon Monoxide (ppm),RED: Carbon Dioxide (ppm),RED: Oxygen (ppm),RED: Water (ppm),YELLOW: Hydrogen (ppm),YELLOW: Methane (ppm),YELLOW: Acetylene (ppm),YELLOW: Ethylene (ppm),YELLOW: Ethane (ppm),YELLOW: Carbon Monoxide (ppm),YELLOW: Carbon Dioxide (ppm),YELLOW: Oxygen (ppm),YELLOW: Water (ppm),BLUE: Hydrogen (ppm),BLUE: Methane (ppm),BLUE: Acetylene (ppm),BLUE: Ethylene (ppm),BLUE: Ethane (ppm),BLUE: Carbon Monoxide (ppm),BLUE: Carbon Dioxide (ppm),BLUE: Oxygen (ppm),BLUE: Water (ppm)
09/07/2015 14:00,,,,,,,,,,,,,,,,,,,9.0,135.0,0.0,26.3,720.8,282.4,2277,635.4,12.1
09/07/2015 12:00,13.8,51.3,0.5,12.0,138.5,148.0,1946,686.6,3.3,,,,,,,,,,,,,,,,,,
09/07/2015 09:00,,,,,,,,,,7.1,141.8,0.0,24.8,678.8,267.3,2070,665.6,11.4,,,,,,,,,
09/07/2015 06:00,,,,,,,,,,,,,,,,,,,8.1,134.3,0.0,26.1,720.2,281.8,2278,685.6,12.3
09/07/2015 04:00,12.8,50.7,0.4,12.7,142.5,149.3,1956,682.7,3.4,,,,,,,,,,,,,,,,,,
09/07/2015 01:00,,,,,,,,,,7.0,141.5,0.0,25.6,706.9,265.7,2057,673.4,10.4,,,,,,,,,
08/07/2015 22:00,,,,,,,,,,,,,,,,,,,8.2,134.3,0.0,26.3,707.1,281.2,2272,684.2,12.4
08/07/2015 20:00,13.0,49.4,0.3,12.4,141.9,150.9,1968,699.6,3.5,,,,,,,,,,,,,,,,,,
08/07/2015 17:00,,,,,,,,,,7.1,140.2,0.3,24.9,685.8,266.2,2064,729.7,9.7,,,,,,,,,
08/07/2015 14:00,,,,,,,,,,,,,,,,,,,8.4,135.1,0.0,26.5,717.7,284.1,2287,645.0,13.1
08/07/2015 12:00,12.9,50.8,0.3,12.0,140.7,149.0,1960,696.0,3.5,,,,,,,,,,,,,,,,,,
08/07/2015 09:00,,,,,,,,,,7.1,141.0,0.0,25.3,688.0,266.2,2059,688.1,10.1,,,,,,,,,
08/07/2015 06:00,,,,,,,,,,,,,,,,,,,8.2,134.1,0.0,25.3,691.0,282.8,2279,654.7,13.6
08/07/2015 04:00,12.8,51.3,0.5,11.5,132.8,149.1,1957,695.7,3.6,,,,,,,,,,,,,,,,,,
08/07/2015 01:00,,,,,,,,,,7.1,142.4,0.0,24.2,672.2,265.6,2058,666.0,10.5,,,,,,,,,
07/07/2015 22:00,,,,,,,,,,,,,,,,,,,8.2,134.7,0.0,25.6,700.5,282.7,2280,658.3,13.8
07/07/2015 20:00,12.8,49.0,0.3,11.7,132.8,147.1,1932,662.0,3.5,,,,,,,,,,,,,,,,,,
07/07/2015 17:00,,,,,,,,,,7.2,139.2,0.0,24.5,673.1,265.8,2057,673.6,9.2,,,,,,,,,
07/07/2015 14:00,,,,,,,,,,,,,,,,,,,8.4,135.9,0.0,25.8,704.8,283.7,2290,621.8,13.7
07/07/2015 12:00,13.0,50.4,0.2,11.5,130.6,148.1,1949,674.6,3.4,,,,,,,,,,,,,,,,,,
07/07/2015 09:00,,,,,,,,,,7.3,142.2,0.0,25.6,696.2,267.8,2069,675.7,10.1,,,,,,,,,
07/07/2015 06:00,,,,,,,,,,,,,,,,,,,8.2,135.6,0.0,26.0,709.8,281.7,2271,675.7,13.3
07/07/2015 04:00,12.9,49.4,0.2,11.8,137.9,148.5,1948,712.7,3.5,,,,,,,,,,,,,,,,,,
07/07/2015 01:00,,,,,,,,,,7.0,138.1,0.0,24.6,686.4,260.2,2037,669.0,10.7,,,,,,,,,
06/07/2015 22:00,,,,,,,,,,,,,,,,,,,8.3,133.4,0.0,24.4,679.4,281.9,2273,642.9,13.1
06/07/2015 20:00,12.9,50.6,0.1,12.3,138.3,147.2,1939,683.0,3.3,,,,,,,,,,,,,,,,,,
06/07/2015 17:00,,,,,,,,,,7.2,139.5,0.0,25.8,684.2,263.2,2036,714.4,9.4,,,,,,,,,
06/07/2015 14:00,,,,,,,,,,,,,,,,,,,8.7,134.1,0.0,25.1,702.9,281.4,2266,674.5,12.9
06/07/2015 12:00,13.1,49.5,0.2,12.0,133.8,147.8,1941,646.6,3.3,,,,,,,,,,,,,,,,,,
06/07/2015 09:00,,,,,,,,,,7.1,140.7,0.0,24.8,676.1,262.3,2042,660.8,11.1,,,,,,,,,
06/07/2015 06:00,,,,,,,,,,,,,,,,,,,8.1,132.5,0.0,25.1,690.1,279.6,2255,669.9,12.8
06/07/2015 04:00,12.6,52.3,0.5,11.6,131.1,147.9,1942,660.7,3.4,,,,,,,,,,,,,,,,,,
06/07/2015 01:00,,,,,,,,,,7.0,139.1,0.0,24.4,676.5,262.5,2039,710.2,9.7,,,,,,,,,
05/07/2015 22:00,,,,,,,,,,,,,,,,,,,8.2,133.2,0.0,25.0,689.6,280.3,2258,651.5,13.1
05/07/2015 20:00,12.9,48.0,0.3,12.8,133.4,147.9,1950,681.6,3.5,,,,,,,,,,,,,,,,,,
05/07/2015 17:00,,,,,,,,,,7.3,137.5,0.0,26.0,694.1,262.5,2041,673.6,10.2,,,,,,,,,
05/07/2015 14:00,,,,,,,,,,,,,,,,,,,8.7,130.0,0.0,25.2,689.1,279.2,2258,679.9,12.8
05/07/2015 12:00,12.4,49.7,0.2,13.1,140.3,144.3,1921,676.4,3.7,,,,,,,,,,,,,,,,,,
05/07/2015 09:00,,,,,,,,,,7.3,137.2,0.0,25.3,696.3,256.2,2013,713.0,9.2,,,,,,,,,
05/07/2015 06:00,,,,,,,,,,,,,,,,,,,8.1,132.5,0.0,26.0,700.6,278.9,2245,701.8,12.4
05/07/2015 04:00,12.5,50.0,0.4,12.1,131.7,145.5,1929,697.1,3.8,,,,,,,,,,,,,,,,,,
05/07/2015 01:00,,,,,,,,,,7.1,139.6,0.0,25.2,680.1,261.7,2036,678.7,9.6,,,,,,,,,
04/07/2015 22:00,,,,,,,,,,,,,,,,,,,8.2,131.7,0.0,26.5,713.5,277.9,2257,732.9,11.7
04/07/2015 20:00,12.7,49.8,0.4,12.4,130.5,146.6,1954,678.5,3.8,,,,,,,,,,,,,,,,,,
04/07/2015 17:00,,,,,,,,,,7.6,138.4,0.0,25.4,694.7,260.9,1998,665.0,10.4,,,,,,,,,
04/07/2015 14:00,,,,,,,,,,,,,,,,,,,8.9,132.5,0.0,25.0,686.1,280.6,2214,629.0,15.0
04/07/2015 12:00,13.0,48.3,0.0,12.0,129.3,146.2,1902,663.1,3.5,,,,,,,,,,,,,,,,,,
04/07/2015 09:00,,,,,,,,,,7.5,142.4,0.0,25.1,681.6,263.7,2050,697.4,9.1,,,,,,,,,
04/07/2015 06:00,,,,,,,,,,,,,,,,,,,8.4,134.6,0.0,25.6,701.7,280.0,2254,689.5,13.2
04/07/2015 04:00,12.6,50.0,0.4,12.7,139.6,146.0,1914,667.5,3.4,,,,,,,,,,,,,,,,,,
